age;sex;Medu;Fedu;reason;absences;G1;G3
18;F;4;4;course;6;5;6
17;F;1;1;course;4;5;6
15;F;1;1;other;10;7;10
15;F;4;2;home;2;15;15
16;F;3;3;home;4;6;10
16;M;4;3;reputation;10;15;15
16;M;2;2;home;0;12;11
17;F;4;4;home;6;6;6
15;M;3;2;home;0;16;19
15;M;3;4;home;0;14;15
15;F;4;4;reputation;0;10;9
15;F;2;1;reputation;4;10;12
15;M;4;4;course;2;14;14
15;M;4;3;course;2;10;11
15;M;2;2;home;0;14;16
16;F;4;4;home;4;14;14
16;F;4;4;reputation;6;13;14
16;F;3;3;reputation;4;8;10
17;M;3;2;course;16;6;5
16;M;4;3;home;4;8;10
15;M;4;3;reputation;0;13;15
15;M;4;4;other;0;12;15
16;M;4;2;course;2;15;16
16;M;2;2;reputation;0;13;12
15;F;2;4;course;2;10;8
16;F;2;2;home;14;6;8
15;M;2;2;home;2;12;11
15;M;4;2;other;4;15;15
16;M;3;4;home;4;11;11
16;M;4;4;home;16;10;11
15;M;4;4;home;0;9;12
15;M;4;4;reputation;0;17;17
15;M;4;3;course;0;17;16
15;M;3;3;course;0;8;12
16;M;3;2;home;0;12;15
15;F;2;3;other;0;8;6
15;M;4;3;home;2;15;18
16;M;4;4;reputation;7;15;15
15;F;3;4;course;2;12;11
15;F;2;2;reputation;8;14;13
16;F;2;2;home;25;7;11
15;M;4;4;home;8;12;12
15;M;4;4;course;2;19;18
15;M;2;2;course;0;8;11
16;F;2;2;course;14;10;9
15;F;4;3;course;8;8;6
16;F;3;3;home;12;11;11
16;M;4;3;reputation;4;19;20
15;M;4;2;home;2;15;14
15;F;4;4;other;2;7;7
16;F;2;2;course;2;12;13
15;F;4;2;other;2;11;13
15;M;4;2;other;6;11;10
15;F;4;4;course;0;8;11
15;F;3;3;other;6;10;13
16;F;2;1;other;8;8;10
15;F;4;3;reputation;0;14;15
15;M;4;4;reputation;4;14;15
15;M;1;2;home;2;9;9
16;F;4;2;course;2;15;16
16;F;4;4;other;6;10;11
16;F;1;1;course;6;10;11
16;F;1;2;reputation;4;8;9
16;F;4;3;home;2;10;9
15;F;4;3;reputation;0;10;10
16;F;4;3;course;2;16;15
15;M;4;4;reputation;4;13;12
16;F;3;1;course;4;7;6
15;F;2;2;reputation;2;8;8
15;F;3;1;reputation;12;16;16
16;M;3;1;reputation;0;13;15
15;M;4;2;course;0;10;10
15;F;1;1;reputation;2;8;5
16;M;3;1;reputation;2;12;14
16;F;3;3;home;54;11;11
15;M;4;3;home;6;9;10
15;M;4;0;course;8;11;10
16;F;2;2;reputation;0;11;11
17;M;2;1;home;2;8;10
16;F;3;4;course;12;5;5
15;M;2;3;course;2;10;12
15;M;2;3;home;4;11;11
15;F;3;2;reputation;10;7;6
15;M;2;2;home;4;15;15
15;F;1;1;home;2;9;10
15;F;4;4;reputation;6;7;8
16;F;2;2;course;4;8;6
15;F;4;2;reputation;4;13;14
16;M;2;2;reputation;12;11;10
16;M;4;4;reputation;18;8;7
16;F;3;3;home;0;7;8
15;F;4;3;reputation;4;16;18
16;F;3;1;home;4;7;6
16;F;4;2;home;0;11;10
15;M;2;2;reputation;6;11;14
15;F;1;1;home;2;7;10
16;M;4;3;reputation;2;11;15
16;F;2;1;course;2;8;10
16;F;4;4;reputation;6;11;14
16;F;4;3;course;0;7;8
16;M;4;4;other;14;7;5
16;M;4;4;other;0;16;17
15;M;4;4;course;4;10;14
15;F;3;2;home;26;7;6
15;M;3;4;course;0;16;18
15;F;3;3;reputation;10;10;11
15;F;2;2;course;8;7;8
16;M;3;3;home;2;16;18
15;M;4;4;home;6;10;13
16;F;4;4;other;4;14;16
15;M;4;4;course;6;18;19
16;F;3;3;reputation;0;7;10
16;F;2;2;home;6;10;13
15;M;4;2;course;10;18;19
15;M;2;1;reputation;8;9;9
16;M;4;4;course;2;15;16
15;M;4;4;reputation;2;11;14
16;M;3;3;home;0;13;13
17;M;1;3;course;20;9;8
15;M;3;4;reputation;6;14;13
15;F;1;2;course;2;16;15
15;M;2;2;home;6;16;15
16;F;2;4;course;2;13;13
16;M;4;4;course;18;14;13
16;F;2;2;home;0;8;8
15;M;3;4;home;0;13;12
15;F;3;4;home;0;7;11
19;F;0;1;course;2;7;9
18;M;2;2;reputation;0;7;0
16;M;4;4;course;8;18;18
15;F;3;4;course;0;12;0
15;F;1;1;course;0;8;0
17;F;2;2;course;12;10;12
16;F;3;4;course;16;12;11
15;M;3;4;course;0;9;0
15;F;4;4;course;0;11;0
17;M;3;4;course;0;10;0
16;F;3;3;course;0;4;0
16;M;1;1;course;0;14;12
15;F;4;4;course;0;16;15
15;M;4;3;course;0;7;0
16;M;2;2;reputation;8;9;9
15;F;4;4;course;2;9;11
16;F;1;1;course;2;14;13
17;M;2;1;home;0;5;0
15;F;1;1;course;0;8;11
15;F;3;2;home;0;6;0
15;F;1;2;course;2;10;11
16;M;4;4;course;0;7;0
15;M;2;1;course;0;8;10
18;M;1;1;course;0;6;0
16;M;2;1;course;6;12;14
15;F;3;3;reputation;8;10;10
19;M;3;2;home;0;5;0
17;F;4;4;course;0;11;12
15;M;2;3;course;2;11;8
17;M;1;2;reputation;8;16;13
18;F;1;1;course;6;9;10
16;M;2;2;course;2;17;15
16;M;3;3;course;4;10;12
17;M;2;1;course;0;7;0
15;M;3;2;course;6;5;7
16;M;1;2;course;0;7;0
17;M;1;3;course;2;10;10
17;M;1;1;course;0;5;7
16;M;3;2;course;16;12;12
16;M;2;2;course;4;10;10
16;F;4;2;home;0;14;16
16;F;2;2;home;0;6;0
16;F;4;4;reputation;0;14;14
16;M;3;4;course;0;6;0
16;M;1;0;reputation;2;13;16
17;M;4;4;reputation;0;13;10
16;F;1;3;home;0;8;0
16;F;3;3;reputation;4;10;9
17;M;4;3;course;4;10;9
16;F;2;2;reputation;2;13;11
17;M;3;3;reputation;4;6;6
16;M;4;2;other;10;10;9
17;M;4;3;course;4;10;11
16;M;4;3;home;10;9;8
16;M;3;3;home;2;12;12
17;F;2;4;reputation;0;16;17
17;F;3;3;reputation;56;9;8
16;F;3;2;reputation;14;12;12
17;M;3;3;other;12;12;11
16;M;1;2;other;2;11;11
16;M;2;1;course;0;15;15
17;F;3;3;reputation;6;8;9
17;M;1;2;home;4;8;10
16;F;2;3;course;10;11;13
17;F;1;1;course;0;8;9
17;M;1;2;other;12;7;8
16;M;3;3;reputation;8;8;10
16;M;2;3;home;0;13;14
17;F;2;4;course;0;14;15
17;M;4;4;home;4;17;16
16;M;3;3;home;8;9;10
17;F;4;4;home;24;18;18
16;F;4;4;reputation;0;9;10
16;F;4;3;home;2;16;16
16;F;2;3;reputation;6;8;10
17;F;1;1;course;4;9;10
17;F;2;2;reputation;18;7;6
16;F;2;2;reputation;6;10;11
17;F;3;4;home;28;10;9
16;F;3;1;course;5;7;7
16;F;4;3;other;10;11;13
16;F;1;1;home;6;9;10
17;F;4;3;reputation;6;7;7
19;F;3;3;reputation;10;8;8
17;M;4;4;home;13;12;13
16;F;2;2;reputation;0;12;14
18;M;2;2;home;15;6;8
17;F;4;4;other;12;8;10
17;F;3;2;reputation;2;14;15
17;F;4;3;reputation;22;6;4
18;M;3;3;home;13;6;8
17;F;2;3;home;3;7;8
17;F;2;2;course;4;9;10
17;F;2;1;reputation;2;6;6
17;F;1;1;reputation;0;6;0
16;F;2;3;other;2;16;17
18;M;2;2;home;0;12;13
16;F;4;4;home;0;13;14
18;F;3;1;reputation;16;9;7
17;F;3;2;course;10;16;15
17;M;2;3;reputation;2;12;12
18;M;2;1;course;14;10;9
17;F;2;1;course;10;12;12
17;F;4;3;reputation;14;13;14
17;M;2;2;course;4;11;11
17;M;4;4;reputation;14;11;9
16;M;4;4;reputation;2;14;13
16;M;1;1;home;18;9;6
16;M;3;2;reputation;10;11;10
17;M;2;2;home;4;14;13
16;F;2;1;home;20;13;12
17;F;2;1;course;2;13;11
18;M;2;2;reputation;0;7;0
17;M;4;3;course;14;12;12
17;M;4;4;course;2;10;12
16;M;4;3;course;0;6;0
16;M;4;4;course;0;13;12
18;F;2;1;course;0;7;0
16;M;2;1;course;6;18;18
17;M;2;3;course;4;12;13
22;M;3;1;other;16;6;8
18;M;3;3;course;8;3;5
16;M;0;2;other;0;13;15
18;M;3;2;course;0;6;8
16;M;3;3;reputation;6;7;10
18;M;2;1;other;4;6;8
16;M;2;1;course;0;8;8
17;M;2;1;course;0;8;12
17;M;1;1;course;2;7;8
17;F;4;2;reputation;6;14;13
19;M;4;3;reputation;12;11;11
18;M;2;1;home;8;15;14
17;F;2;2;course;0;10;0
18;F;4;3;home;21;17;18
18;M;4;3;course;2;8;8
18;M;3;2;course;1;13;12
17;F;3;3;home;4;10;9
18;F;2;2;home;0;9;0
18;M;3;4;reputation;13;17;17
17;M;3;1;other;2;9;10
18;F;4;4;reputation;8;12;11
18;M;4;2;reputation;10;10;10
18;F;2;1;reputation;0;6;0
19;F;3;3;home;15;9;9
18;F;2;3;reputation;4;15;14
18;F;1;1;home;2;11;11
17;M;1;2;home;2;15;14
17;F;2;4;reputation;2;10;10
17;F;2;2;course;6;12;12
18;F;3;2;home;75;10;9
18;M;4;4;home;22;9;9
18;F;4;4;reputation;15;9;8
18;M;4;3;course;8;10;10
17;M;4;1;home;30;8;8
17;M;3;2;home;19;11;10
18;F;1;1;reputation;1;12;12
18;F;1;1;home;4;8;10
17;F;2;2;course;4;10;11
17;M;1;1;reputation;2;12;11
18;F;2;2;other;5;18;19
17;F;1;1;reputation;6;13;12
18;M;2;1;reputation;6;15;14
18;M;4;4;reputation;9;15;15
18;M;4;2;home;11;12;11
17;F;4;3;reputation;0;15;15
18;F;2;1;reputation;12;12;13
17;F;3;1;reputation;6;18;18
18;M;3;2;reputation;8;14;14
17;M;3;3;home;4;14;11
19;F;4;4;reputation;0;10;0
18;F;4;3;home;10;10;8
18;F;4;3;reputation;0;14;14
18;M;4;4;home;5;16;16
18;F;4;4;home;14;12;11
17;M;4;4;home;0;11;10
17;F;4;2;reputation;0;15;14
17;F;3;2;reputation;0;17;18
19;M;3;3;home;20;15;13
18;F;2;4;reputation;8;14;12
20;M;3;2;course;0;17;18
19;M;4;4;reputation;38;8;8
19;M;3;3;reputation;0;15;12
19;F;1;1;reputation;18;12;10
19;F;1;2;home;0;9;0
19;F;2;1;other;20;14;13
19;M;1;2;course;3;13;11
19;F;3;2;reputation;22;13;11
19;F;1;1;home;14;15;13
19;F;2;3;reputation;40;13;11
18;F;2;1;course;0;8;0
18;F;4;3;course;9;9;9
17;F;3;4;course;0;11;10
18;F;4;4;course;2;11;11
17;F;4;3;course;23;13;13
17;F;2;2;course;12;11;9
17;F;2;2;course;3;11;11
17;F;3;1;course;1;12;15
17;F;0;2;home;0;16;15
18;M;4;4;course;3;9;11
17;M;3;3;reputation;3;14;16
17;M;2;2;course;8;11;10
17;F;4;4;course;7;10;9
17;F;4;4;course;4;14;14
18;M;2;2;course;2;9;8
17;F;2;4;course;7;12;14
18;F;3;3;home;0;7;0
18;F;2;2;home;0;8;0
18;F;2;2;course;0;10;0
17;F;3;4;course;16;16;15
19;F;3;1;home;12;14;13
17;F;3;2;home;0;7;0
18;F;3;3;home;7;16;17
17;F;3;2;home;4;9;10
19;F;2;1;home;4;11;11
18;M;4;4;home;0;10;0
18;M;3;4;home;11;16;15
17;F;2;2;home;0;9;0
18;F;2;3;course;4;11;10
18;F;3;2;other;7;13;14
18;M;4;3;course;9;16;16
18;M;4;3;course;0;10;9
17;F;4;3;reputation;0;13;15
18;M;3;2;course;10;11;13
19;M;1;1;home;8;8;8
17;M;3;3;course;2;13;13
18;M;1;3;course;7;8;8
19;M;1;1;home;4;8;8
17;M;4;3;home;4;13;11
18;F;3;3;course;0;10;9
17;F;4;4;other;4;12;13
17;F;3;2;reputation;2;12;11
18;M;1;1;home;4;10;10
18;F;1;1;course;0;18;16
18;F;1;4;course;0;13;13
18;M;1;1;other;2;13;12
18;F;3;3;other;0;11;10
17;F;4;4;course;0;16;15
17;F;1;2;course;0;12;12
18;M;1;3;course;4;10;10
18;M;4;4;other;0;13;13
17;F;1;1;reputation;0;7;0
18;F;2;3;course;0;11;10
18;F;4;4;other;10;14;11
19;F;3;2;home;4;7;9
18;M;1;2;other;3;14;12
17;F;2;2;home;8;13;11
17;F;1;2;course;14;6;5
18;F;4;4;reputation;0;19;19
18;F;1;1;home;2;8;10
20;F;4;2;course;4;15;15
18;F;4;4;course;4;8;10
18;F;3;3;home;0;15;15
17;F;3;1;reputation;17;10;10
18;M;4;4;home;4;15;14
18;M;2;1;other;5;7;7
17;M;2;3;home;2;11;10
19;M;1;1;other;0;6;0
18;M;4;2;home;14;6;5
18;F;2;2;other;2;10;10
18;F;4;4;reputation;7;6;6
19;F;2;3;course;0;7;0
18;F;3;1;course;0;7;8
18;F;1;1;course;0;6;0
20;M;2;2;course;11;9;9
17;M;3;1;course;3;14;16
21;M;1;1;course;3;10;7
18;M;3;2;course;0;11;10
19;M;1;1;course;5;8;9
18;F;4;4;course;4;0;11
17;F;1;1;course;2;9;11
15;F;1;1;other;6;12;12
15;F;4;2;home;0;14;14
16;F;3;3;home;0;11;13
16;M;4;3;reputation;6;12;13
16;M;2;2;home;0;13;13
17;F;4;4;home;2;10;13
15;M;3;2;home;0;15;17
15;M;3;4;home;0;12;13
15;F;4;4;reputation;2;14;14
15;F;2;1;reputation;0;10;13
15;M;4;4;course;0;12;12
15;M;4;3;course;0;12;13
15;M;2;2;home;0;14;15
16;F;4;4;home;6;17;17
16;F;4;4;reputation;10;13;14
16;F;3;3;reputation;2;13;14
17;M;3;2;course;2;8;7
16;M;4;3;home;6;12;12
15;M;4;3;reputation;0;12;14
15;M;4;4;other;0;11;12
16;M;4;2;course;0;12;14
16;M;2;2;reputation;2;10;10
15;F;2;4;course;2;10;10
16;F;2;2;home;6;10;12
15;M;2;2;home;8;11;12
15;M;4;2;other;0;11;11
16;M;3;4;home;2;12;13
16;M;4;4;home;4;12;12
15;M;4;4;home;0;10;11
15;M;4;4;reputation;2;15;15
15;M;4;3;course;0;13;15
15;M;3;3;course;0;13;12
16;M;3;2;home;4;12;12
15;F;2;3;other;4;11;11
15;M;4;3;home;0;14;14
16;M;4;4;reputation;4;13;13
15;F;3;4;course;2;11;12
15;F;2;2;reputation;8;14;12
16;F;2;2;home;16;11;10
15;M;4;4;home;8;10;11
15;M;4;4;course;0;14;15
15;M;2;2;course;0;9;10
16;F;2;2;course;14;10;11
15;F;4;3;course;4;10;11
16;F;3;3;home;6;13;13
16;M;4;3;reputation;2;17;17
15;M;4;2;home;4;11;13
15;F;4;4;other;2;13;12
16;F;2;2;course;0;14;13
15;F;4;2;other;0;16;16
15;M;4;2;other;4;10;9
15;F;4;4;course;0;13;12
15;F;3;3;other;0;13;13
16;F;2;1;other;2;12;12
15;F;4;3;reputation;0;15;15
15;M;4;4;reputation;8;15;16
15;M;1;2;home;0;14;14
16;F;4;2;course;2;16;16
16;F;4;4;other;0;17;16
16;F;1;1;course;0;10;16
16;F;1;2;reputation;0;13;10
16;F;4;3;home;0;14;13
15;F;4;3;reputation;0;13;12
16;F;4;3;course;2;16;16
15;M;4;4;reputation;0;11;12
16;F;3;1;course;0;10;10
15;F;2;2;reputation;0;11;11
15;F;3;1;reputation;6;15;15
16;M;3;1;reputation;2;13;11
15;M;4;2;course;0;11;10
15;F;1;1;reputation;2;13;11
16;M;3;1;reputation;0;13;14
16;F;3;3;home;4;11;11
15;M;4;3;home;0;11;11
15;M;4;0;course;0;12;11
16;F;2;2;reputation;1;13;13
17;M;2;1;home;0;9;10
16;F;3;4;course;14;12;11
15;M;2;3;course;0;11;12
15;M;2;3;home;2;10;9
15;F;3;2;reputation;4;12;11
15;M;2;2;home;2;13;13
15;F;1;1;home;2;13;12
15;F;4;4;reputation;4;12;12
16;F;2;2;course;6;13;11
15;F;4;2;reputation;4;15;15
16;M;2;2;reputation;6;12;11
16;M;4;4;reputation;6;9;10
16;F;3;3;home;2;9;11
15;F;4;3;reputation;6;14;13
16;F;3;1;home;0;12;12
16;F;4;2;home;2;13;14
15;M;2;2;reputation;2;11;12
15;F;1;1;home;4;13;13
16;M;4;3;reputation;6;9;11
16;F;2;1;course;0;13;12
16;F;4;4;reputation;4;12;13
16;F;4;3;course;2;12;13
16;M;4;4;other;12;9;8
16;M;4;4;other;0;16;16
15;M;4;4;course;2;12;12
15;F;3;2;home;16;11;10
15;M;3;4;course;0;16;16
15;F;3;3;reputation;10;10;10
15;F;2;2;course;4;10;10
16;M;3;3;home;4;13;14
15;M;4;4;home;8;12;11
16;F;4;4;other;2;15;14
15;M;4;4;course;4;13;14
16;F;3;3;reputation;4;11;11
16;F;2;2;home;12;8;10
15;M;4;2;course;10;18;18
15;M;2;1;reputation;4;10;10
16;M;4;4;course;6;16;14
15;M;4;4;reputation;4;16;16
16;M;3;3;home;6;14;15
17;M;1;3;course;14;12;11
15;M;3;4;reputation;2;14;14
15;F;1;2;course;0;14;14
15;M;2;2;home;6;14;13
16;F;2;4;course;2;14;13
16;M;4;4;course;4;12;13
16;F;2;2;home;0;12;11
